0,1,2,3,4
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
-8.72651,-5.31265,1.25112,-1.85931,-0.620266
