EXP NUM,SOLVENT A NAME,SOLVENT B NAME,SolventB%,Residence Time,Temperature,SM,Product,SM SMILES,Product SMILES,SOLVENT A SMILES,SOLVENT B SMILES,SOLVENT A Ratio,SOLVENT B Ratio,Reaction SMILES A,Reaction SMILES B
0,Methanol,Ethyl Acetate,1.0,16.0,220.0,0.776996859,0.135167492,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.9775562718,16.0,220.0,0.777938711,0.145510185,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.9052229385,16.0,220.0,0.77726946,0.169276413,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.8338896052,16.0,220.0,0.758232032,0.191477025,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.7618896051999999,16.0,220.0,0.640482547,0.182970599,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.6902229384999999,16.0,220.0,0.586521075,0.140571095,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.6188896052,16.0,220.0,0.580242552,0.15768464,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.5468896052000001,16.0,220.0,0.573026867,0.169502923,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.47555627180000004,16.0,220.0,0.564124696,0.182194842,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.4032229385,16.0,220.0,0.555639841,0.195966451,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.3315562718,16.0,220.0,0.547077446,0.209213287,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.2602229385,16.0,220.0,0.536082198,0.222008833,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.18822293850000002,16.0,220.0,0.522936901,0.236126506,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.1172229385,16.0,220.0,0.51130335,0.251797633,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.0452229385,16.0,220.0,0.503466192,0.266517045,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.0,16.0,220.0,0.496093651,0.275563576,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.0,16.0,220.0,0.49427366,0.282070762,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
0,Methanol,Ethyl Acetate,0.0,16.0,220.0,0.496354726,0.284008788,C=CCOC1=CC=CC=C1,OC1=CC=CC=C1CC=C,CO,O=C(OCC)C,[1.0],[1.0],C=CCOC1=CC=CC=C1.CO>>OC1=CC=CC=C1CC=C,C=CCOC1=CC=CC=C1.O=C(OCC)C>>OC1=CC=CC=C1CC=C
